[06-Sep-2026 17:09:17] NOTICE: fpm is running, pid 9
2026/09/06 17:09:17 [alert] 234#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 236#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 235#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 238#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 237#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 240#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 241#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 242#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 243#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 245#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 246#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 248#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 247#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 249#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 250#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 252#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 255#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 254#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 256#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 257#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 258#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 259#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 261#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 260#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 266#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 267#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 262#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 264#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 268#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 270#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 269#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 271#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 272#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 273#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 275#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 276#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 277#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 278#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 279#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 280#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 281#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 283#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 282#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 284#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 286#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 288#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 289#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 290#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 17:09:17 [alert] 291#0: sched_setaffinity() failed (22: Invalid argument)
[06-Sep-2026 17:09:18] NOTICE: ready to handle connections
[06-Sep-2026 17:09:18] NOTICE: systemd monitor disabled
